epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4704,1.88148,2.22386,1.63715,0.65253,0.34385,0.41826,0.19673,1.94902,3.2788,1.78496,0.0679338,0.000366208,0.000366208
2,21.1682,1.73795,1.39373,1.54856,0.59679,0.52024,0.55315,0.2852,1.73019,1.92307,1.59719,0.0349719,0.000737688,0.000737688
3,31.7154,1.68399,1.27991,1.51454,0.65907,0.37097,0.43643,0.21312,1.92583,2.01339,1.86398,0.0020051,0.0011042,0.0011042
4,41.8703,1.63297,1.17871,1.49327,0.69143,0.58841,0.63314,0.33628,1.66839,1.36197,1.62505,0.00110679,0.00110679,0.00110679
5,52.2032,1.57609,1.0885,1.44825,0.64329,0.5577,0.57937,0.30895,1.62437,1.35809,1.56384,0.00109933,0.00109933,0.00109933
6,62.3336,1.54223,1.04816,1.42477,0.67381,0.62062,0.65608,0.35708,1.58842,1.20437,1.55233,0.00109188,0.00109188,0.00109188
7,72.7536,1.51886,1.02216,1.41881,0.79859,0.74115,0.79193,0.44458,1.49504,1.01057,1.47484,0.00108443,0.00108443,0.00108443
8,83.2493,1.43364,0.92838,1.3697,0.83288,0.72737,0.79559,0.46107,1.47497,0.86669,1.44652,0.00107698,0.00107698,0.00107698
9,93.6159,1.43593,0.91701,1.37755,0.84851,0.72871,0.80466,0.45245,1.47489,0.85533,1.44226,0.00106952,0.00106952,0.00106952
10,103.729,1.4096,0.88591,1.34006,0.85428,0.78254,0.84365,0.4859,1.42998,0.79944,1.42609,0.00106207,0.00106207,0.00106207
11,114.208,1.37381,0.84473,1.32053,0.85619,0.77586,0.816,0.47539,1.44602,0.79755,1.42101,0.00105462,0.00105462,0.00105462
12,124.375,1.36325,0.85256,1.3319,0.86696,0.80878,0.84514,0.49913,1.38615,0.72726,1.40018,0.00104717,0.00104717,0.00104717
13,134.825,1.30273,0.79122,1.29202,0.84389,0.80345,0.84289,0.49765,1.3825,0.76338,1.41955,0.00103971,0.00103971,0.00103971
14,144.979,1.30795,0.78005,1.30569,0.86347,0.77648,0.83218,0.49527,1.37345,0.80348,1.40541,0.00103226,0.00103226,0.00103226
15,155.128,1.29572,0.7685,1.28482,0.867,0.80279,0.85159,0.49668,1.37346,0.75012,1.38267,0.00102481,0.00102481,0.00102481
16,165.284,1.26079,0.75357,1.26332,0.86673,0.78463,0.84494,0.48985,1.39796,0.72723,1.37261,0.00101736,0.00101736,0.00101736
17,175.374,1.2691,0.7501,1.26667,0.89584,0.81375,0.87189,0.51268,1.35915,0.68601,1.36934,0.00100991,0.00100991,0.00100991
18,185.822,1.27668,0.75164,1.27102,0.83923,0.81866,0.85711,0.50317,1.34835,0.73445,1.37096,0.00100245,0.00100245,0.00100245
19,195.959,1.24031,0.71402,1.24501,0.89283,0.80107,0.86056,0.50978,1.38389,0.691,1.3759,0.000995001,0.000995001,0.000995001
20,206.015,1.23807,0.72299,1.26471,0.88096,0.82021,0.86532,0.51815,1.356,0.692,1.38261,0.000987548,0.000987548,0.000987548
21,216.387,1.20603,0.7063,1.23446,0.88498,0.79615,0.85859,0.50614,1.3446,0.69626,1.3719,0.000980096,0.000980096,0.000980096
22,226.491,1.19008,0.67782,1.2196,0.88203,0.79737,0.85921,0.51121,1.34378,0.68561,1.36583,0.000972644,0.000972644,0.000972644
23,236.558,1.16825,0.67504,1.21378,0.88273,0.82822,0.87248,0.5225,1.32579,0.66162,1.37128,0.000965191,0.000965191,0.000965191
24,247.052,1.18383,0.67198,1.20789,0.87325,0.8239,0.86322,0.51843,1.35801,0.67385,1.36967,0.000957739,0.000957739,0.000957739
25,257.121,1.17812,0.67219,1.21253,0.86382,0.82202,0.86149,0.51839,1.31745,0.67264,1.34715,0.000950287,0.000950287,0.000950287
26,267.238,1.1432,0.64833,1.19709,0.90681,0.81368,0.88036,0.52731,1.36078,0.64968,1.38115,0.000942834,0.000942834,0.000942834
27,277.679,1.15624,0.65167,1.20425,0.89715,0.82657,0.87662,0.52489,1.33453,0.64352,1.37825,0.000935382,0.000935382,0.000935382
28,287.952,1.15946,0.65205,1.20437,0.86562,0.81468,0.85693,0.50987,1.33221,0.67282,1.3534,0.00092793,0.00092793,0.00092793
29,298.089,1.13845,0.63777,1.18308,0.86039,0.84384,0.87855,0.51813,1.34972,0.64713,1.36831,0.000920477,0.000920477,0.000920477
